DOI,Title,Conference,PaperType,Year,Authors,AuthorAffiliation,InternalReferences,Keywords
10.1109/TVCG.2009.111,A Nested Model for Visualization Design and Validation,InfoVis,J,2009,Tamara Munzner,University of British Columbia,10.1109/VAST.2007.4389008;10.1109/INFVIS.2005.1532136;10.1109/TVCG.2008.117;10.1109/TVCG.2006.160;10.1109/VISUAL.1998.745289;10.1109/TVCG.2007.70515;10.1109/TVCG.2008.109;10.1109/VISUAL.1992.235203;10.1109/INFVIS.2004.59;10.1109/INFVIS.2005.1532124;10.1109/INFVIS.1998.729560;10.1109/INFVIS.2004.10;10.1109/TVCG.2008.125;10.1109/INFVIS.1997.636792;10.1109/INFVIS.2005.1532150;10.1109/VISUAL.1990.146375,models;frameworks;design;evaluation
10.1109/INFVIS.2000.885092,A taxonomy of visualization techniques using the data state reference model,InfoVis,C,2000,Ed H. Chi,"Xerox Palo Alto Res. Center, CA, USA",10.1109/INFVIS.1997.636761;10.1109/INFVIS.1997.636792;10.1109/INFVIS.1998.729560,information visualization;data state model;reference model;taxonomy;techniques;operators
10.1109/TVCG.2007.70582,NodeTrix: a Hybrid Visualization of Social Networks,InfoVis,J,2007,Nathalie Henry Riche;Jean-Daniel Fekete;Michael J. McGuffin,"INRIA Futurs/University Paris-Sud, France and University of Sydney, Australia;INRIA Futurs, France;Ontario Cancer Institute and University of Toronto, Canada",10.1109/TVCG.2006.160;10.1109/VAST.2006.261426;10.1109/INFVIS.2005.1532126;10.1109/INFVIS.2004.46;10.1109/TVCG.2006.193;10.1109/INFVIS.2005.1532129;10.1109/TVCG.2006.166;10.1109/TVCG.2006.147;10.1109/INFVIS.2004.64;10.1109/INFVIS.2003.1249011,network visualization;matrix visualization;hybrid visualization;aggregation;interaction
10.1109/VISUAL.1999.809866,Hierarchical parallel coordinates for exploration of large datasets,Vis,C,1999,Ying-Huey Fua;Matthew O. Ward;Elke A. Rundensteiner,"Dept. of Comput. Sci., Worcester Polytech. Inst., MA, USA",10.1109/VISUAL.1994.346302;10.1109/INFVIS.1999.801858;10.1109/VISUAL.1996.567800;10.1109/VISUAL.1995.485140;10.1109/VISUAL.1990.146386;10.1109/VISUAL.1990.146402;10.1109/INFVIS.1998.729556;10.1109/VISUAL.1995.485139,large-scale multivariate data visualization;hierarchical data exploration;parallel coordinates
10.1109/VAST.2007.4389006,Jigsaw: Supporting Investigative Analysis through Interactive Visualization,VAST,C,2007,John T. Stasko;Carsten Görg;Zhicheng Liu;Kanupriya Singhal,"School of Interactive Computing & GVU Center, Georgia Institute of Technology. e-mail: stasko@cc.gatech.edu;School of Interactive Computing & GVU Center, Georgia Institute of Technology. e-mail: goerg@cc.gatech.edu;School of Interactive Computing & GVU Center, Georgia Institute of Technology. e-mail: zcliu@cc.gatech.edu;School of Interactive Computing & GVU Center, Georgia Institute of Technology. e-mail: ksinghal@cc.gatech.edu",10.1109/INFVIS.1995.528686;10.1109/INFVIS.2004.27;10.1109/VAST.2006.261432,visual analytics;investigative analysis;intelligence analysis;information visualization;multiple views
10.1109/VISUAL.2001.964519,Interactive volume rendering using multi-dimensional transfer functions and direct manipulation widgets,Vis,C,2001,Joe Michael Kniss;Gordon L. Kindlmann;Charles D. Hansen,"Sch. of Comput., Utah Univ., Salt Lake City, UT, USA;Sch. of Comput., Utah Univ., Salt Lake City, UT, USA;Sch. of Comput., Utah Univ., Salt Lake City, UT, USA",10.1109/VISUAL.1995.480803;10.1109/VISUAL.1999.809908;10.1109/VISUAL.1999.809889;10.1109/VISUAL.1996.568113;10.1109/VISUAL.1997.663875,volume visualization;direct volume rendering;multi-dimensional transfer functions;direct manipulation widgets;graphics hardware
10.1109/TVCG.2014.2346248,UpSet: Visualization of Intersecting Sets,InfoVis,J,2014,Alexander Lex;Nils Gehlenborg;Hendrik Strobelt;Romain Vuillemot;Hanspeter Pfister,Hendrik Strobelt and Hanspeter Pfister are with Harvard University.;Harvard Medical School;Hendrik Strobelt and Hanspeter Pfister are with Harvard University.;Romain Vuillemot is with Harvard University;Hendrik Strobelt and Hanspeter Pfister are with Harvard University.,10.1109/TVCG.2008.144;10.1109/TVCG.2013.184;10.1109/TVCG.2011.186;10.1109/TVCG.2010.210;10.1109/TVCG.2009.122;10.1109/TVCG.2011.185;10.1109/TVCG.2011.183,sets;set visualization;sets intersections;set attributes;set relationships;multidimensional data
10.1109/INFVIS.2005.1532136,Low-level components of analytic activity in information visualization,InfoVis,C,2005,Robert A. Amar;James R. Eagan;John T. Stasko,"Coll. of Comput., Georgia Inst. of Technol., Atlanta, GA, USA;Coll. of Comput., Georgia Inst. of Technol., Atlanta, GA, USA;Coll. of Comput., Georgia Inst. of Technol., Atlanta, GA, USA",10.1109/VISUAL.1990.146375;10.1109/INFVIS.1998.729560;10.1109/INFVIS.2000.885092;10.1109/INFVIS.2004.5;10.1109/INFVIS.2001.963289,analytic activity;taxonomy;knowledge discovery;design;evaluation
10.1109/VISUAL.2003.1250414,Curvature-based transfer functions for direct volume rendering: methods and applications,Vis,C,2003,Gordon L. Kindlmann;Ross T. Whitaker;Tolga Tasdizen;Torsten Möller,"Inst. of Sci. Comput. & Imaging, Utah Univ., Salt Lake, UT, USA;Inst. of Sci. Comput. & Imaging, Utah Univ., Salt Lake, UT, USA;Inst. of Sci. Comput. & Imaging, Utah Univ., Salt Lake, UT, USA",10.1109/VISUAL.2000.885696;10.1109/VISUAL.2002.1183766;10.1109/VISUAL.1995.480795;10.1109/VISUAL.2000.885694;10.1109/VISUAL.1994.346331;10.1109/VISUAL.2002.1183777,volume rendering;implicit surface curvature;convolution-based differentiation;non-photorealistic rendering;surface processing;uncertainty visualization;flowline curvature
10.1109/VISUAL.1999.809869,New quadric metric for simplifying meshes with appearance attributes,Vis,C,1999,Hugues Hoppe,,10.1109/VISUAL.1998.745312;10.1109/VISUAL.1998.745285;10.1109/VISUAL.1998.745314;10.1109/VISUAL.1997.663908,level of detail;mesh decimation;multiresolution
10.1109/VISUAL.1999.809883,Multi-projector displays using camera-based registration,Vis,C,1999,Ramesh Raskar;Michael S. Brown;Ruigang Yang;Wei-Chao Chen;Greg Welch;Herman Towles;W. Brent Seales;Henry Fuchs,"Dept. of Comput. Sci., North Carolina Univ., Chapel Hill, NC, USA",,display;projection;spatially immersive display;panoramic image display;virtual environments;intensity blending;image-based modeling;depth;calibration;auto-calibration;structured light;camera-based registration
10.1109/TVCG.2007.70539,Animated Transitions in Statistical Data Graphics,InfoVis,J,2007,Jeffrey Heer;George G. Robertson,"Computer Science Division at the University of California, Berkeley;Microsoft Research",10.1109/INFVIS.1999.801854;10.1109/INFVIS.2001.963279;10.1109/INFVIS.2002.1173148,statistical data graphics;animation;transitions;information visualization;design;experiment
10.1109/TVCG.2008.153,Rolling the Dice: Multidimensional Visual Exploration using Scatterplot Matrix Navigation,InfoVis,J,2008,Niklas Elmqvist;Pierre Dragicevic;Jean-Daniel Fekete,,10.1109/TVCG.2007.70515;10.1109/VAST.2007.4389013;10.1109/TVCG.2007.70577;10.1109/VISUAL.1990.146386;10.1109/VAST.2006.261452;10.1109/INFVIS.2005.1532136;10.1109/VISUAL.1994.346302;10.1109/INFVIS.1998.729559;10.1109/VISUAL.1995.485139;10.1109/INFVIS.2003.1249016;10.1109/INFVIS.2000.885086;10.1109/INFVIS.2004.3;10.1109/INFVIS.2004.64;10.1109/TVCG.2007.70539;10.1109/INFVIS.2004.15,visual exploration;visual queries;visual analytics;navigation;multivariate data;interaction
10.1109/VISUAL.1998.745280,Large scale terrain visualization using the restricted quadtree triangulation,Vis,C,1998,Renato Pajarola,"Inst. of Theor. Comput. Sci., Eidgenossische Tech. Hochschule, Zurich, Switzerland",10.1109/VISUAL.1997.663860;10.1109/VISUAL.1995.480800;10.1109/VISUAL.1995.480799,algorithms;computer graphics;virtual reality;triangulated surfaces;terrain visualization;terascale visualization
10.1109/TVCG.2012.213,Design Study Methodology: Reflections from the Trenches and the Stacks,InfoVis,J,2012,Michael Sedlmair;Miriah D. Meyer;Tamara Munzner,University of British Columbia;University of Utah;University of British Columbia,10.1109/INFVIS.1999.801869;10.1109/INFVIS.1996.559226;10.1109/TVCG.2008.117;10.1109/TVCG.2009.152;10.1109/TVCG.2010.206;10.1109/INFVIS.2005.1532136;10.1109/TVCG.2010.193;10.1109/VAST.2011.6102443;10.1109/TVCG.2011.174;10.1109/VAST.2007.4389008;10.1109/TVCG.2009.116;10.1109/TVCG.2011.192;10.1109/TVCG.2009.128;10.1109/INFVIS.2003.1249023;10.1109/TVCG.2009.167;10.1109/TVCG.2009.111;10.1109/TVCG.2011.209,design study;methodology;visualization;framework
10.1109/TVCG.2013.226,Visual Exploration of Big Spatio-Temporal Urban Data: A Study of New York City Taxi Trips,VAST,J,2013,Nivan Ferreira;Jorge Poco;Huy T. Vo;Juliana Freire;Cláudio T. Silva,NYU Poly;NYU Poly;NYU CUSP;NYU Poly;NYU Poly and NYU CUSP,10.1109/INFVIS.2004.12;10.1109/VAST.2008.4677356;10.1109/VAST.2011.6102454;10.1109/TVCG.2007.70535;10.1109/VAST.2010.5652467;10.1109/INFVIS.2005.1532150;10.1109/VAST.2008.4677370;10.1109/INFVIS.2000.885086,spatio-temporal queries;urban data;taxi movement data;visual exploration
10.1109/TVCG.2007.70594,Show Me: Automatic Presentation for Visual Analysis,InfoVis,J,2007,Jock D. Mackinlay;Pat Hanrahan;Chris Stolte,,10.1109/INFVIS.2000.885086,automatic presentation;visual analysis;graphic design;best practices;data visualization;small multiples
10.1109/VISUAL.2000.885721,Anisotropic geometric diffusion in surface processing,Vis,C,2000,Ulrich Clarenz;Udo Diewald;Martin Rumpf,"Inst. for Appl. Math., Bonn Univ., Germany",10.1109/VISUAL.1999.809904,image processing;geometric modeling;numerical analysis
10.1109/INFVIS.1997.636792,The structure of the information visualization design space,InfoVis,C,1997,Stuart K. Card;Jock D. Mackinlay,"Xerox Palo Alto Res. Center, CA, USA",10.1109/INFVIS.1996.559213;10.1109/VISUAL.1991.175815;10.1109/INFVIS.1995.528686;10.1109/INFVIS.1995.528684;10.1109/INFVIS.1995.528697,information visualization;taxonomy;design space;morphological analysis
10.1109/TVCG.2009.171,Participatory Visualization with Wordle,InfoVis,J,2009,Fernanda B. Viégas;Martin Wattenberg;Jonathan Feinberg,IBM Research;IBM Research;IBM Research,10.1109/INFVIS.2005.1532122;10.1109/TVCG.2007.70577,visualization;text;tag cloud;participatory culture;memory;educational visualization;social data analysis
10.1109/INFVIS.2001.963273,Visualizing time-series on spirals,InfoVis,C,2001,Marc Weber;Marc Alexa;Wolfgang Müller 0004,Technische Universitat Darmstadt,10.1109/VISUAL.1991.175794;10.1109/INFVIS.2000.885098;10.1109/INFVIS.1995.528685,information visualization;graph drawing;visualization of time-series data;data mining
10.1109/TVCG.2007.70535,A Taxonomy of Clutter Reduction for Information Visualisation,InfoVis,J,2007,Geoffrey P. Ellis;Alan J. Dix,,10.1109/INFVIS.2003.1249018;10.1109/INFVIS.2000.885092;10.1109/TVCG.2006.138;10.1109/VISUAL.2005.1532819;10.1109/INFVIS.2003.1249008;10.1109/VISUAL.1999.809866;10.1109/INFVIS.2000.885091;10.1109/VISUAL.1998.745301;10.1109/INFVIS.1997.636789;10.1109/INFVIS.2002.1173156;10.1109/INFVIS.2003.1249019;10.1109/INFVIS.1997.636792;10.1109/INFVIS.1995.528685;10.1109/INFVIS.2004.15;10.1109/TVCG.2006.170,clutter reduction;information visualisation;occlusion;large datasets;taxonomy
10.1109/INFVIS.2004.1,A Comparison of the Readability of Graphs Using Node-Link and Matrix-Based Representations,InfoVis,C,2004,Mohammad Ghoniem;Jean-Daniel Fekete;Philippe Castagliola,Ecole des Mines de Nantes,10.1109/INFVIS.2003.1249030,visualization of graphs;adjacency matrices;node-link representation;readability;evaluation
10.1109/VISUAL.1997.663875,The contour spectrum,Vis,C,1997,Chandrajit L. Bajaj;Valerio Pascucci;Daniel Schikore,"Shastra Lab., Purdue Univ., West Lafayette, IN, USA",10.1109/VISUAL.1996.568123;10.1109/VISUAL.1995.480803;10.1109/VISUAL.1996.568113,visualization;scalar data;user interfaces;real-time quantitative query
10.1109/VISUAL.2005.1532788,VisTrails: enabling interactive multiple-view visualizations,Vis,C,2005,Louis Bavoil;Steven P. Callahan;Carlos Scheidegger;Huy T. Vo;Patricia Crossno;Cláudio T. Silva;Juliana Freire,"Sci. Comput. & Imaging Inst., Utah Univ., Salt Lake City, UT, USA;Sci. Comput. & Imaging Inst., Utah Univ., Salt Lake City, UT, USA",10.1109/VISUAL.1998.745299;10.1109/INFVIS.2004.2;10.1109/VISUAL.2004.112;10.1109/VISUAL.2002.1183791,interrogative visualization;dataflow;caching;coordinated views
10.1109/TVCG.2006.166,Network Visualization by Semantic Substrates,InfoVis,J,2006,Ben Shneiderman;Aleks Aris,"Professor with the Computer Science Department and the Human-Computer Interaction Laboratory at the University of Maryland, College Park;PhD Candidate with the Computer Science Department and the Human-Computer Interaction Laboratory at the University of Maryland, College Park",10.1109/INFVIS.2004.1;10.1109/INFVIS.2005.1532124;10.1109/INFVIS.2005.1532126,network visualization;semantic substrate;information visualization;graphical user interfaces
10.1109/TVCG.2008.166,Stacked Graphs - Geometry & Aesthetics,InfoVis,J,2008,Lee Byron;Martin Wattenberg,The New York Times;Visual Communication Lab at IBM,10.1109/TVCG.2006.163;10.1109/INFVIS.2005.1532122;10.1109/TVCG.2007.70577;10.1109/INFVIS.2000.885098,streamgraph;themeriver;listening history;lastfm;aesthetics;communication-minded visualization;time series
10.1109/VISUAL.1997.663888,Application-controlled demand paging for out-of-core visualization,Vis,C,1997,Michael Cox;David Ellsworth,"NASA Ames Res. Center, Moffett Field, CA, USA",10.1109/VISUAL.1994.346311;10.1109/VISUAL.1990.146360;10.1109/VISUAL.1993.398860,computational fluid dynamics;visualization;out-of-core visualization
10.1109/INFVIS.2004.64,The InfoVis Toolkit,InfoVis,C,2004,Jean-Daniel Fekete,INRIA Futurs/LRI,10.1109/INFVIS.2003.1249008;10.1109/INFVIS.2000.885086;10.1109/INFVIS.2002.1173156;10.1109/INFVIS.1995.528688;10.1109/INFVIS.2002.1173148,information visualization;toolkit;graphics;integration
10.1109/TVCG.2007.70541,Casual Information Visualization: Depictions of Data in Everyday Life,InfoVis,J,2007,Zachary Pousman;John T. Stasko;Michael Mateas,"School of Interactive Computing and the GVU Center at the Georgia Institute of Technology;School of Interactive Computing and the GVU Center at the Georgia Institute of Technology;University of California, Santa Cruz",10.1109/INFVIS.2005.1532126;10.1109/INFVIS.2004.8;10.1109/INFVIS.2003.1249031;10.1109/INFVIS.2004.59;10.1109/VISUAL.1990.146375,casual information visualization;ambient infovis;social infovis;editorial;design;evaluation
10.1109/VAST.2011.6102456,SensePlace2: GeoTwitter analytics support for situational awareness,VAST,C,2011,Alan M. MacEachren;Anuj R. Jaiswal;Anthony C. Robinson;Scott Pezanowski;Alexander Savelyev;Prasenjit Mitra;Xiao Zhang 0019;Justine I. Blanford,"GeoVISTA Center, The Pennsylvania State University, USA;GeoVISTA Center, The Pennsylvania State University, USA;GeoVISTA Center, The Pennsylvania State University, USA;GeoVISTA Center, The Pennsylvania State University, USA;GeoVISTA Center, The Pennsylvania State University, USA;GeoVISTA Center, The Pennsylvania State University, USA;GeoVISTA Center, The Pennsylvania State University, USA;GeoVISTA Center, The Pennsylvania State University, USA",10.1109/VAST.2010.5652478;10.1109/VAST.2007.4388994;10.1109/TVCG.2010.129;10.1109/INFVIS.2005.1532134;10.1109/VAST.2010.5652922,social media analytics;scenario-based design;geovisualization;situational awareness;text analytics;crisis management;spatio-temporal analysis
10.1109/VISUAL.2005.1532781,The value of visualization,Vis,C,2005,Jarke J. van Wijk,"Dept. of Math. & Comput. Sci., Technische Univ. Eindhoven, Netherlands",10.1109/VISUAL.1991.175815;10.1109/INFVIS.2004.70;10.1109/VISUAL.2001.964505;10.1109/VISUAL.2003.1250354;10.1109/INFVIS.2001.963285;10.1109/INFVIS.1999.801851,visualization;evaluation
10.1109/TVCG.2011.239,TextFlow: Towards Better Understanding of Evolving Topics in Text,InfoVis,J,2011,Weiwei Cui;Shixia Liu;Li Tan;Conglei Shi;Yangqiu Song;Zekai Gao;Huamin Qu;Xin Tong,Hong Kong University of Science and Technology ∕ Microsoft Research Asia;Microsoft Research Asia;Microsoft Research Asia;Hong Kong University of Science and Technology;Microsoft Research Asia;Zhejiang University ∕ Microsoft Research Asia;Hong Kong University of Science and Technology;Microsoft Research Asia,10.1109/VAST.2010.5652931;10.1109/VAST.2009.5333443;10.1109/TVCG.2006.156;10.1109/TVCG.2009.171;10.1109/TVCG.2008.166;10.1109/TVCG.2010.129;10.1109/VAST.2008.4677364;10.1109/INFVIS.2005.1532122;10.1109/VAST.2009.5333437;10.1109/INFVIS.2005.1532152,text visualization;topic evolution;hierarchical dirichlet process;critical event
10.1109/VISUAL.2000.885694,Volume illustration: non-photorealistic rendering of volume models,Vis,C,2000,David S. Ebert;Penny Rheingans,"Dept. of Comput. Sci. & Electr. Eng., Maryland Univ., Baltimore, MD, USA",10.1109/VISUAL.1996.568111;10.1109/VISUAL.1998.745294;10.1109/VISUAL.1995.480795;10.1109/VISUAL.2000.885696;10.1109/VISUAL.1998.745319;10.1109/VISUAL.1999.809905;10.1109/VISUAL.1999.809932;10.1109/VISUAL.1990.146391,volume rendering;non-photorealistic rendering;illustration;lighting models;shading;visualization
10.1109/INFVIS.2004.15,Clutter Reduction in Multi-Dimensional Data Visualization Using Dimension Reordering,InfoVis,C,2004,Wei Peng;Matthew O. Ward;Elke A. Rundensteiner,Worcester Polytechnic Institute,10.1109/INFVIS.2003.1249015;10.1109/VISUAL.1996.567800;10.1109/VISUAL.1990.146386;10.1109/INFVIS.1998.729559;10.1109/VISUAL.1999.809866;10.1109/INFVIS.1996.559215;10.1109/INFVIS.2000.885086,multidimensional visualization;dimension order;visual clutter;visual structure
10.1109/TVCG.2008.125,Effectiveness of Animation in Trend Visualization,InfoVis,J,2008,George G. Robertson;Roland Fernandez;Danyel Fisher;Bongshin Lee;John T. Stasko,Microsoft Research;Microsoft Research;Microsoft Research;Microsoft Research;Georgia Institute of Technology,10.1109/INFVIS.1999.801854;10.1109/TVCG.2007.70539,information visualization;animation;trends;design;experiment
10.1109/TVCG.2009.174,Protovis: A Graphical Toolkit for Visualization,InfoVis,J,2009,Michael Bostock;Jeffrey Heer,Stanford University;Stanford University,10.1109/VISUAL.1999.809864;10.1109/INFVIS.2004.12;10.1109/TVCG.2006.178;10.1109/TVCG.2007.70577;10.1109/INFVIS.1998.729560;10.1109/VAST.2007.4389011;10.1109/TVCG.2008.166;10.1109/INFVIS.2004.64;10.1109/INFVIS.2000.885086;10.1109/VAST.2007.4388996,information visualization;user interfaces;toolkits;2d graphics
10.1109/TVCG.2013.124,A Multi-Level Typology of Abstract Visualization Tasks,InfoVis,J,2013,Matthew Brehmer;Tamara Munzner,University of British Columbia;University of British Columbia,10.1109/TVCG.2007.70541;10.1109/TVCG.2012.219;10.1109/INFVIS.1996.559213;10.1109/TVCG.2012.213;10.1109/TVCG.2012.273;10.1109/INFVIS.2005.1532136;10.1109/TVCG.2010.177;10.1109/TVCG.2007.70539;10.1109/INFVIS.2002.1173148;10.1109/TVCG.2007.70515;10.1109/TVCG.2012.204;10.1109/TVCG.2009.111;10.1109/TVCG.2008.109;10.1109/VISUAL.1992.235203;10.1109/INFVIS.2004.59;10.1109/VAST.2008.4677365;10.1109/VAST.2011.6102438;10.1109/TVCG.2008.121;10.1109/TVCG.2008.137;10.1109/INFVIS.1998.729560;10.1109/INFVIS.2004.10;10.1109/TVCG.2012.252;10.1109/VISUAL.1990.146375,typology;visualization models;task and requirements analysis;qualitative evaluation
10.1109/TVCG.2008.135,Geometry-Based Edge Clustering for Graph Visualization,InfoVis,J,2008,Weiwei Cui;Hong Zhou;Huamin Qu;Pak Chung Wong;Xiaoming Li,the Hong Kong University of Science and Technology;the Hong Kong University of Science and Technology;the Hong Kong University of Science and Technology;Pacific Northwest National Laboratory;Peking University,10.1109/TVCG.2007.70535;10.1109/TVCG.2007.70580;10.1109/INFVIS.2004.43;10.1109/INFVIS.2003.1249008;10.1109/INFVIS.2005.1532150;10.1109/INFVIS.2004.66;10.1109/INFVIS.2005.1532138;10.1109/TVCG.2006.147,graph visualization;visual clutter;mesh;edge clustering
10.1109/INFVIS.1999.801860,Cushion treemaps: visualization of hierarchical information,InfoVis,C,1999,Jarke J. van Wijk;Huub van de Wetering,"Dept. of Math. & Comput. Sci., Eindhoven Univ. of Technol., Netherlands",10.1109/VISUAL.1991.175815,information visualization;tree visualization;treemaps
10.1109/TVCG.2008.172,"The Word Tree, an Interactive Visual Concordance",InfoVis,J,2008,Martin Wattenberg;Fernanda B. Viégas,IBM Research;IBM Research,10.1109/INFVIS.2002.1173155;10.1109/VAST.2007.4389006;10.1109/TVCG.2007.70577;10.1109/INFVIS.2002.1173148,text visualization;document visualization;many eyes;case study;concordance;information retrieval;search
10.1109/VAST.2007.4389011,Design Considerations for Collaborative Visual Analytics,VAST,C,2007,Jeffrey Heer;Maneesh Agrawala,"University of California, Soda Hall, UC Berkeley, Berkeley, CA 94720-1776. E-Mail: jheer@cs.berkeley.edu;University of California, Soda Hall, UC Berkeley, Berkeley, CA 94720-1776. E-Mail: maneesh@cs.berkeley.edu",10.1109/VISUAL.1991.175820;10.1109/TVCG.2006.178;10.1109/TVCG.2006.202;10.1109/VAST.2006.261439,visualization;analysis;collaboration;design;computer-supported cooperative work
10.1109/INFVIS.2001.963279,Animated exploration of dynamic graphs with radial layout,InfoVis,C,2001,Ka-Ping Yee;Danyel Fisher;Rachna Dhamija;Marti A. Hearst,University of California,10.1109/INFVIS.1997.636718,graph drawing;animation;interaction
10.1109/INFVIS.2005.1532150,Flow map layout,InfoVis,C,2005,Doantam Phan;Ling Xiao;Ron B. Yeh;Pat Hanrahan;Terry Winograd,"Stanford Univ., CA, USA;Stanford Univ., CA, USA;Stanford Univ., CA, USA;Stanford Univ., CA, USA",10.1109/INFVIS.1995.528697;10.1109/INFVIS.1996.559226,flow maps;gis;hierarchical clustering
10.1109/VISUAL.2002.1183766,Geometric surface smoothing via anisotropic diffusion of normals,Vis,C,2002,Tolga Tasdizen;Ross T. Whitaker;Paul Burchard;Stanley J. Osher,"Sch. of Comput., Utah Univ., Salt Lake City, UT, USA",,anisotropic diffusion;surface fairing;geometric surface processing;intrinsic laplacian of curvature;level sets
10.1109/VISUAL.1995.485140,Recursive pattern: a technique for visualizing very large amounts of data,Vis,C,1995,Daniel A. Keim;Mihael Ankerst;Hans-Peter Kriegel,"Inst. for Comput. Sci., Munchen Univ., Germany;Inst. for Comput. Sci., Munchen Univ., Germany;Inst. for Comput. Sci., Munchen Univ., Germany",10.1109/VISUAL.1990.146402;10.1109/INFVIS.1995.528688;10.1109/VISUAL.1991.175809;10.1109/VISUAL.1990.146386;10.1109/VISUAL.1990.146387;10.1109/VISUAL.1990.146389,visualizing large data sets;visualizing multidimensional and multivariate data;visualizing large sequential data sets;recursive visualization techniques;interfaces to databases
10.1109/VISUAL.1999.809908,Multiresolution Techniques for Interactive Texture-based Volume Visualization,Vis,C,1999,Eric LaMar;Bernd Hamann;Kenneth I. Joy,"Center for Image Process. & Integrated Comput., California Univ., Davis, CA, USA",,multiresolution rendering;volume visualization;hardware texture
